DOW,,"DES,DOW,STK,SMART/AMEX,,,,,"
EXP,,"DES,EXP,STK,SMART/AMEX,,,,,"
HON,,"DES,HON,STK,SMART/AMEX,,,,,"
IP,,"DES,IP,STK,SMART/AMEX,,,,,"
LHX,,"DES,LHX,STK,SMART/AMEX,,,,,"
LMT,,"DES,LMT,STK,SMART/AMEX,,,,,"
MA,,"DES,MA,STK,SMART/AMEX,,,,,"
MO,,"DES,MO,STK,SMART/AMEX,,,,,"
NDAQ,,"DES,NDAQ,STK,SMART/AMEX,,,,,"
NSC,,"DES,NSC,STK,SMART/AMEX,,,,,"
PH,,"DES,PH,STK,SMART/AMEX,,,,,"
PHM,,"DES,PHM,STK,SMART/AMEX,,,,,"
RCL,,"DES,RCL,STK,SMART/AMEX,,,,,"
SHW,,"DES,SHW,STK,SMART/AMEX,,,,,"
TMO,,"DES,TMO,STK,SMART/AMEX,,,,,"
TSCO,,"DES,TSCO,STK,SMART/AMEX,,,,,"
TT,,"DES,TT,STK,SMART/AMEX,,,,,"
VLO,,"DES,VLO,STK,SMART/AMEX,,,,,"
AAPL,,"DES,AAPL,STK,SMART/AMEX,,,,,"
DECK,,"DES,DECK,STK,SMART/AMEX,,,,,"
DLB,,"DES,DLB,STK,SMART/AMEX,,,,,"
EMN,,"DES,EMN,STK,SMART/AMEX,,,,,"
HIG,,"DES,HIG,STK,SMART/AMEX,,,,,"
KLAC,,"DES,KLAC,STK,SMART/AMEX,,,,,"
SNDK,,"DES,SNDK,STK,SMART/AMEX,,,,,"
SYK,,"DES,SYK,STK,SMART/AMEX,,,,,"
V,,"DES,V,STK,SMART/AMEX,,,,,"
WDC,,"DES,WDC,STK,SMART/AMEX,,,,,"
APD,,"DES,APD,STK,SMART/AMEX,,,,,"
ARCB,,"DES,ARCB,STK,SMART/AMEX,,,,,"
AXP,,"DES,AXP,STK,SMART/AMEX,,,,,"
BEN,,"DES,BEN,STK,SMART/AMEX,,,,,"
CHD,,"DES,CHD,STK,SMART/AMEX,,,,,"
CHTR,,"DES,CHTR,STK,SMART/AMEX,,,,,"
CL,,"DES,CL,STK,SMART/AMEX,,,,,"
CVX,,"DES,CVX,STK,SMART/AMEX,,,,,"
LYB,,"DES,LYB,STK,SMART/AMEX,,,,,"
REGN,,"DES,REGN,STK,SMART/AMEX,,,,,"
SOFI,,"DES,SOFI,STK,SMART/AMEX,,,,,"
VZ,,"DES,VZ,STK,SMART/AMEX,,,,,"
XOM,,"DES,XOM,STK,SMART/AMEX,,,,,"
APTV,,"DES,APTV,STK,SMART/AMEX,,,,,"
DIS,,"DES,DIS,STK,SMART/AMEX,,,,,"
IDXX,,"DES,IDXX,STK,SMART/AMEX,,,,,"
TSN,,"DES,TSN,STK,SMART/AMEX,,,,,"
DVA,,"DES,DVA,STK,SMART/AMEX,,,,,"
NXPI,,"DES,NXPI,STK,SMART/AMEX,,,,,"
PLTR,,"DES,PLTR,STK,SMART/AMEX,,,,,"
TER,,"DES,TER,STK,SMART/AMEX,,,,,"
ADM,,"DES,ADM,STK,SMART/AMEX,,,,,"
AME,,"DES,AME,STK,SMART/AMEX,,,,,"
BALL,,"DES,BALL,STK,SMART/AMEX,,,,,"
BR,,"DES,BR,STK,SMART/AMEX,,,,,"
ETN,,"DES,ETN,STK,SMART/AMEX,,,,,"
GWW,,"DES,GWW,STK,SMART/AMEX,,,,,"
HUBB,,"DES,HUBB,STK,SMART/AMEX,,,,,"
IT,,"DES,IT,STK,SMART/AMEX,,,,,"
ITW,,"DES,ITW,STK,SMART/AMEX,,,,,"
MPC,,"DES,MPC,STK,SMART/AMEX,,,,,"
MRK,,"DES,MRK,STK,SMART/AMEX,,,,,"
PEP,,"DES,PEP,STK,SMART/AMEX,,,,,"
PFE,,"DES,PFE,STK,SMART/AMEX,,,,,"
PNR,,"DES,PNR,STK,SMART/AMEX,,,,,"
PYPL,,"DES,PYPL,STK,SMART/AMEX,,,,,"
AMCR,,"DES,AMCR,STK,SMART/AMEX,,,,,"
AMD,,"DES,AMD,STK,SMART/AMEX,,,,,"
AMGN,,"DES,AMGN,STK,SMART/AMEX,,,,,"
CLX,,"DES,CLX,STK,SMART/AMEX,,,,,"
CMG,,"DES,CMG,STK,SMART/AMEX,,,,,"
CTVA,,"DES,CTVA,STK,SMART/AMEX,,,,,"
EMR,,"DES,EMR,STK,SMART/AMEX,,,,,"
ENPH,,"DES,ENPH,STK,SMART/AMEX,,,,,"
INTA,,"DES,INTA,STK,SMART/AMEX,,,,,"
J,,"DES,J,STK,SMART/AMEX,,,,,"
MDLZ,,"DES,MDLZ,STK,SMART/AMEX,,,,,"
MTCH,,"DES,MTCH,STK,SMART/AMEX,,,,,"
PRU,,"DES,PRU,STK,SMART/AMEX,,,,,"
SWKS,,"DES,SWKS,STK,SMART/AMEX,,,,,"
TTWO,,"DES,TTWO,STK,SMART/AMEX,,,,,"
VLTO,,"DES,VLTO,STK,SMART/AMEX,,,,,"
VRNS,,"DES,VRNS,STK,SMART/AMEX,,,,,"
ABBV,,"DES,ABBV,STK,SMART/AMEX,,,,,"
AVY,,"DES,AVY,STK,SMART/AMEX,,,,,"
AZTA,,"DES,AZTA,STK,SMART/AMEX,,,,,"
BG,,"DES,BG,STK,SMART/AMEX,,,,,"
BSX,,"DES,BSX,STK,SMART/AMEX,,,,,"
CDW,,"DES,CDW,STK,SMART/AMEX,,,,,"
CME,,"DES,CME,STK,SMART/AMEX,,,,,"
COR,,"DES,COR,STK,SMART/AMEX,,,,,"
CTSH,,"DES,CTSH,STK,SMART/AMEX,,,,,"
EFX,,"DES,EFX,STK,SMART/AMEX,,,,,"
FOX,,"DES,FOX,STK,SMART/AMEX,,,,,"
FTV,,"DES,FTV,STK,SMART/AMEX,,,,,"
GEHC,,"DES,GEHC,STK,SMART/AMEX,,,,,"
IEX,,"DES,IEX,STK,SMART/AMEX,,,,,"
JCI,,"DES,JCI,STK,SMART/AMEX,,,,,"
LLY,,"DES,LLY,STK,SMART/AMEX,,,,,"
PSX,,"DES,PSX,STK,SMART/AMEX,,,,,"
SWK,,"DES,SWK,STK,SMART/AMEX,,,,,"
TECH,,"DES,TECH,STK,SMART/AMEX,,,,,"
TROW,,"DES,TROW,STK,SMART/AMEX,,,,,"
UBER,,"DES,UBER,STK,SMART/AMEX,,,,,"
YUM,,"DES,YUM,STK,SMART/AMEX,,,,,"
AFL,,"DES,AFL,STK,SMART/AMEX,,,,,"
ALGN,,"DES,ALGN,STK,SMART/AMEX,,,,,"
ALL,,"DES,ALL,STK,SMART/AMEX,,,,,"
ARM,,"DES,ARM,STK,SMART/AMEX,,,,,"
CPAY,,"DES,CPAY,STK,SMART/AMEX,,,,,"
ELF,,"DES,ELF,STK,SMART/AMEX,,,,,"
FMC,,"DES,FMC,STK,SMART/AMEX,,,,,"
GOOG,,"DES,GOOG,STK,SMART/AMEX,,,,,"
MCK,,"DES,MCK,STK,SMART/AMEX,,,,,"
MET,,"DES,MET,STK,SMART/AMEX,,,,,"
PTC,,"DES,PTC,STK,SMART/AMEX,,,,,"
QCOM,,"DES,QCOM,STK,SMART/AMEX,,,,,"
SNAP,,"DES,SNAP,STK,SMART/AMEX,,,,,"
STE,,"DES,STE,STK,SMART/AMEX,,,,,"
TENB,,"DES,TENB,STK,SMART/AMEX,,,,,"
BMY,,"DES,BMY,STK,SMART/AMEX,,,,,"
CAH,,"DES,CAH,STK,SMART/AMEX,,,,,"
CARR,,"DES,CARR,STK,SMART/AMEX,,,,,"
CMI,,"DES,CMI,STK,SMART/AMEX,,,,,"
COP,,"DES,COP,STK,SMART/AMEX,,,,,"
EL,,"DES,EL,STK,SMART/AMEX,,,,,"
HII,,"DES,HII,STK,SMART/AMEX,,,,,"
HSY,,"DES,HSY,STK,SMART/AMEX,,,,,"
ICE,,"DES,ICE,STK,SMART/AMEX,,,,,"
IQV,,"DES,IQV,STK,SMART/AMEX,,,,,"
KKR,,"DES,KKR,STK,SMART/AMEX,,,,,"
LIN,,"DES,LIN,STK,SMART/AMEX,,,,,"
RL,,"DES,RL,STK,SMART/AMEX,,,,,"
ROK,,"DES,ROK,STK,SMART/AMEX,,,,,"
SNA,,"DES,SNA,STK,SMART/AMEX,,,,,"
TPR,,"DES,TPR,STK,SMART/AMEX,,,,,"
WMS,,"DES,WMS,STK,SMART/AMEX,,,,,"
AFRM,,"DES,AFRM,STK,SMART/AMEX,,,,,"
AMZN,,"DES,AMZN,STK,SMART/AMEX,,,,,"
BE,,"DES,BE,STK,SMART/AMEX,,,,,"
DOCS,,"DES,DOCS,STK,SMART/AMEX,,,,,"
FTNT,,"DES,FTNT,STK,SMART/AMEX,,,,,"
GEN,,"DES,GEN,STK,SMART/AMEX,,,,,"
MCHP,,"DES,MCHP,STK,SMART/AMEX,,,,,"
MGM,,"DES,MGM,STK,SMART/AMEX,,,,,"
MPWR,,"DES,MPWR,STK,SMART/AMEX,,,,,"
MTD,,"DES,MTD,STK,SMART/AMEX,,,,,"
NWS,,"DES,NWS,STK,SMART/AMEX,,,,,"
RBLX,,"DES,RBLX,STK,SMART/AMEX,,,,,"
RDDT,,"DES,RDDT,STK,SMART/AMEX,,,,,"
TEAM,,"DES,TEAM,STK,SMART/AMEX,,,,,"
BIIB,,"DES,BIIB,STK,SMART/AMEX,,,,,"
MKTX,,"DES,MKTX,STK,SMART/AMEX,,,,,"
PM,,"DES,PM,STK,SMART/AMEX,,,,,"
DT,,"DES,DT,STK,SMART/AMEX,,,,,"
WAT,,"DES,WAT,STK,SMART/AMEX,,,,,"
ACGL,,"DES,ACGL,STK,SMART/AMEX,,,,,"
CINF,,"DES,CINF,STK,SMART/AMEX,,,,,"
ON,,"DES,ON,STK,SMART/AMEX,,,,,"
CVS,,"DES,CVS,STK,SMART/AMEX,,,,,"
DDOG,,"DES,DDOG,STK,SMART/AMEX,,,,,"
ECL,,"DES,ECL,STK,SMART/AMEX,,,,,"
FISV,,"DES,FISV,STK,SMART/AMEX,,,,,"
HAS,,"DES,HAS,STK,SMART/AMEX,,,,,"
KO,,"DES,KO,STK,SMART/AMEX,,,,,"
MAR,,"DES,MAR,STK,SMART/AMEX,,,,,"
MAS,,"DES,MAS,STK,SMART/AMEX,,,,,"
SPGI,,"DES,SPGI,STK,SMART/AMEX,,,,,"
TRMB,,"DES,TRMB,STK,SMART/AMEX,,,,,"
WMB,,"DES,WMB,STK,SMART/AMEX,,,,,"
XYL,,"DES,XYL,STK,SMART/AMEX,,,,,"
ZBH,,"DES,ZBH,STK,SMART/AMEX,,,,,"
AIG,,"DES,AIG,STK,SMART/AMEX,,,,,"
AIZ,,"DES,AIZ,STK,SMART/AMEX,,,,,"
F,,"DES,F,STK,SMART/AMEX,,,,,"
FRSH,,"DES,FRSH,STK,SMART/AMEX,,,,,"
GILD,,"DES,GILD,STK,SMART/AMEX,,,,,"
HOOD,,"DES,HOOD,STK,SMART/AMEX,,,,,"
KVYO,,"DES,KVYO,STK,SMART/AMEX,,,,,"
LYFT,,"DES,LYFT,STK,SMART/AMEX,,,,,"
PEGA,,"DES,PEGA,STK,SMART/AMEX,,,,,"
BWA,,"DES,BWA,STK,SMART/AMEX,,,,,"
GNRC,,"DES,GNRC,STK,SMART/AMEX,,,,,"
HLT,,"DES,HLT,STK,SMART/AMEX,,,,,"
KHC,,"DES,KHC,STK,SMART/AMEX,,,,,"
SW,,"DES,SW,STK,SMART/AMEX,,,,,"
TMUS,,"DES,TMUS,STK,SMART/AMEX,,,,,"
U,,"DES,U,STK,SMART/AMEX,,,,,"
VRT,,"DES,VRT,STK,SMART/AMEX,,,,,"
WAB,,"DES,WAB,STK,SMART/AMEX,,,,,"
ALB,,"DES,ALB,STK,SMART/AMEX,,,,,"
APP,,"DES,APP,STK,SMART/AMEX,,,,,"
CSCO,,"DES,CSCO,STK,SMART/AMEX,,,,,"
IFF,,"DES,IFF,STK,SMART/AMEX,,,,,"
