FMC,STK,SMART,USD
GOOG,STK,SMART,USD
MCK,STK,SMART,USD
MET,STK,SMART,USD
PTC,STK,SMART,USD
QCOM,STK,SMART,USD
SNAP,STK,SMART,USD
STE,STK,SMART,USD
TENB,STK,SMART,USD
BMY,STK,SMART,USD
CAH,STK,SMART,USD
CARR,STK,SMART,USD
CMI,STK,SMART,USD
COP,STK,SMART,USD
EL,STK,SMART,USD
HII,STK,SMART,USD
HSY,STK,SMART,USD
ICE,STK,SMART,USD
IQV,STK,SMART,USD
KKR,STK,SMART,USD
LIN,STK,SMART,USD
RL,STK,SMART,USD
ROK,STK,SMART,USD
SNA,STK,SMART,USD
TPR,STK,SMART,USD
WMS,STK,SMART,USD
AFRM,STK,SMART,USD
AMZN,STK,SMART,USD
BE,STK,SMART,USD
DOCS,STK,SMART,USD
FTNT,STK,SMART,USD
GEN,STK,SMART,USD
MCHP,STK,SMART,USD
MGM,STK,SMART,USD
MPWR,STK,SMART,USD
MTD,STK,SMART,USD
NWS,STK,SMART,USD
RBLX,STK,SMART,USD
RDDT,STK,SMART,USD
TEAM,STK,SMART,USD
BIIB,STK,SMART,USD
MKTX,STK,SMART,USD
PM,STK,SMART,USD
DT,STK,SMART,USD
WAT,STK,SMART,USD
ACGL,STK,SMART,USD
CINF,STK,SMART,USD
ON,STK,SMART,USD
CVS,STK,SMART,USD
DDOG,STK,SMART,USD
ECL,STK,SMART,USD
FISV,STK,SMART,USD
HAS,STK,SMART,USD
KO,STK,SMART,USD
MAR,STK,SMART,USD
MAS,STK,SMART,USD
SPGI,STK,SMART,USD
TRMB,STK,SMART,USD
WMB,STK,SMART,USD
XYL,STK,SMART,USD
ZBH,STK,SMART,USD
AIG,STK,SMART,USD
AIZ,STK,SMART,USD
F,STK,SMART,USD
FRSH,STK,SMART,USD
GILD,STK,SMART,USD
HOOD,STK,SMART,USD
KVYO,STK,SMART,USD
LYFT,STK,SMART,USD
PEGA,STK,SMART,USD
BWA,STK,SMART,USD
GNRC,STK,SMART,USD
HLT,STK,SMART,USD
KHC,STK,SMART,USD
SW,STK,SMART,USD
TMUS,STK,SMART,USD
U,STK,SMART,USD
VRT,STK,SMART,USD
WAB,STK,SMART,USD
ALB,STK,SMART,USD
APP,STK,SMART,USD
CSCO,STK,SMART,USD
IFF,STK,SMART,USD
MCD,STK,SMART,USD
MSI,STK,SMART,USD
PAYC,STK,SMART,USD
AEP,STK,SMART,USD
BAX,STK,SMART,USD
CHKP,STK,SMART,USD
HWM,STK,SMART,USD
NBIS,STK,SMART,USD
ZBRA,STK,SMART,USD
ZTS,STK,SMART,USD
ABNB,STK,SMART,USD
AMAT,STK,SMART,USD
ANET,STK,SMART,USD
CAE,STK,SMART,USD
COIN,STK,SMART,USD
EXPE,STK,SMART,USD
FLO,STK,SMART,USD
IR,STK,SMART,USD
MHK,STK,SMART,USD
PCOR,STK,SMART,USD
PINS,STK,SMART,USD
ROKU,STK,SMART,USD
WYNN,STK,SMART,USD
BLDR,STK,SMART,USD
LDOS,STK,SMART,USD
LH,STK,SMART,USD
MDT,STK,SMART,USD
VMC,STK,SMART,USD
CDNS,STK,SMART,USD
CE,STK,SMART,USD
CZR,STK,SMART,USD
EQT,STK,SMART,USD
PANW,STK,SMART,USD
TOL,STK,SMART,USD
ADI,STK,SMART,USD
GPN,STK,SMART,USD
PODD,STK,SMART,USD
CF,STK,SMART,USD
DASH,STK,SMART,USD
EBAY,STK,SMART,USD
OMC,STK,SMART,USD
TAP,STK,SMART,USD
DE,STK,SMART,USD
LKQ,STK,SMART,USD
PWR,STK,SMART,USD
TRGP,STK,SMART,USD
WMT,STK,SMART,USD
AKAM,STK,SMART,USD
CENX,STK,SMART,USD
CPRT,STK,SMART,USD
DBX,STK,SMART,USD
LYV,STK,SMART,USD
D,STK,SMART,USD
TARS,STK,SMART,USD
FIS,STK,SMART,USD
HD,STK,SMART,USD
HSIC,STK,SMART,USD
KDP,STK,SMART,USD
NRG,STK,SMART,USD
AXON,STK,SMART,USD
CAVA,STK,SMART,USD
FSLR,STK,SMART,USD
GDDY,STK,SMART,USD
HPQ,STK,SMART,USD
LCID,STK,SMART,USD
MOS,STK,SMART,USD
WDAY,STK,SMART,USD
LOW,STK,SMART,USD
OC,STK,SMART,USD
TJX,STK,SMART,USD
A,STK,SMART,USD
AI,STK,SMART,USD
CRM,STK,SMART,USD
NTNX,STK,SMART,USD
NVDA,STK,SMART,USD
PSTG,STK,SMART,USD
SNOW,STK,SMART,USD
SNPS,STK,SMART,USD
STN,STK,SMART,USD
TKO,STK,SMART,USD
TTD,STK,SMART,USD
UHS,STK,SMART,USD
URBN,STK,SMART,USD
ZM,STK,SMART,USD
DCI,STK,SMART,USD
EME,STK,SMART,USD
GCT,STK,SMART,USD
HRL,STK,SMART,USD
KBR,STK,SMART,USD
VTRS,STK,SMART,USD
ADSK,STK,SMART,USD
AMBA,STK,SMART,USD
DELL,STK,SMART,USD
ESTC,STK,SMART,USD
INTU,STK,SMART,USD
MNST,STK,SMART,USD
NTAP,STK,SMART,USD
SOLV,STK,SMART,USD
XYZ,STK,SMART,USD
ZS,STK,SMART,USD
AAON,STK,SMART,USD
NCLH,STK,SMART,USD
ASAN,STK,SMART,USD
ASTS,STK,SMART,USD
MDB,STK,SMART,USD
BBY,STK,SMART,USD
TGT,STK,SMART,USD
BOX,STK,SMART,USD
CRWD,STK,SMART,USD
GTLB,STK,SMART,USD
ROST,STK,SMART,USD
ANF,STK,SMART,USD
AEO,STK,SMART,USD
AVGO,STK,SMART,USD
OKTA,STK,SMART,USD
VEEV,STK,SMART,USD
BJ,STK,SMART,USD
BURL,STK,SMART,USD
CIEN,STK,SMART,USD
KR,STK,SMART,USD
M,STK,SMART,USD
VSCO,STK,SMART,USD
COO,STK,SMART,USD
COST,STK,SMART,USD
GAP,STK,SMART,USD
TEN,STK,SMART,USD
CASY,STK,SMART,USD
HPE,STK,SMART,USD
MTN,STK,SMART,USD
ORCL,STK,SMART,USD
CTOS,STK,SMART,USD
FERG,STK,SMART,USD
UNFI,STK,SMART,USD
WLFC,STK,SMART,USD
CPB,STK,SMART,USD
BMBL,STK,SMART,USD
PATH,STK,SMART,USD
DG,STK,SMART,USD
DKS,STK,SMART,USD
OLLI,STK,SMART,USD
ADBE,STK,SMART,USD
LEN,STK,SMART,USD
S,STK,SMART,USD
SMTC,STK,SMART,USD
TTAN,STK,SMART,USD
ULTA,STK,SMART,USD
LAR,STK,SMART,USD
DOCU,STK,SMART,USD
HQY,STK,SMART,USD
GIS,STK,SMART,USD
WSM,STK,SMART,USD
FIVE,STK,SMART,USD
MU,STK,SMART,USD
ACN,STK,SMART,USD
CCL,STK,SMART,USD
DRI,STK,SMART,USD
JBL,STK,SMART,USD
FDX,STK,SMART,USD
CNM,STK,SMART,USD
KBH,STK,SMART,USD
CHWY,STK,SMART,USD
MLKN,STK,SMART,USD
PAYX,STK,SMART,USD
AGX,STK,SMART,USD
AIR,STK,SMART,USD
BRZE,STK,SMART,USD
LULU,STK,SMART,USD
FDS,STK,SMART,USD
PVH,STK,SMART,USD
NKE,STK,SMART,USD
